SMILES,HOMO,LUMO,J,V,FF,PCE,refJ,refV,refFF,refPCE,doi
COC1=CC=C(N(C2=CC=C(C(C=CC(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=C5)=C5N6C7=CC=C(C8=CC=C(C9=CC=C(N%10C%11=C(C=CC(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)=C%11)C%14=CC=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14%10)C=C9)C%17=NSN=C8%17)C=C7)C6=C2)C%18=CC=C(OC)C=C%18)C=C1,-5.21,-2.93,21.06,1.06,0.76,16.87,20.64,1.05,0.75,16.24,10.1016/j.dyepig.2017.04.059
COC1=CC=C(N(C2=CC=C(C(C=CC(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=C5)=C5C6(CCCCCC)CCCCCC)C6=C2)C7=CC=C(OC)C=C7)C=C1,-5.03,-2.08,20.05,1.06,0.37,7.8,18.39,1.08,0.38,7.5,10.1002/aenm.201602736
COC1=CC=C(N(C2=CC=C(C(C=CC(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=C5)=C5C6(CCCCN(C)C)CCCCN(C)C)C6=C2)C7=CC=C(OC)C=C7)C=C1,-5.05,-2.08,0.58,0.92,0.15,0.08,18.39,1.08,0.38,7.5,10.1002/aenm.201602736
COC1=CC=C(N(C2=CC=C(C(C=CC(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=C5)=C5C6(CCCC[N+](C)(C)C)CCCC[N+](C)(C)C)C6=C2)C7=CC=C(OC)C=C7)C=C1,-5.06,-2.12,21.04,1.08,0.67,15.2,18.39,1.08,0.38,7.5,10.1002/aenm.201602736
CC1=CC=C(N(C2=CC=C(/C=C/C3=C(C)C=C(N(C4=CC=C(/C=C/C5=CC=C(N(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)C=C5)C=C4)C8=CC=C(C9=CC=C(N(C%10=CC(C)=C(/C=C/C%11=CC=C(N(C%12=CC=C(C)C=C%12)C%13=CC=C(C)C=C%13)C=C%11)C=C%10)C%14=CC=C(/C=C/C%15=CC=C(N(C%16=CC=C(C)C=C%16)C%17=CC=C(C)C=C%17)C=C%15)C=C%14)C=C9)C=C8)C=C3)C=C2)C%18=CC=C(C)C=C%18)C=C1,-5.33,-2.65,20.6,1.09,0.64,14.33,21.61,1.07,0.7,17.04,10.1039/C7TC03931J
CC1=C(/C=C/C2=CC=C(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)C=C2)C=CC(N(C5=CC=C(/C=C/C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)C=C5)C9=CC=C(C%10=CC=C(N(C%11=CC(C)=C(/C=C/C%12=CC=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C=C%12)C=C%11)C%15=CC=C(/C=C/C%16=CC=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%16)C=C%15)C=C%10)C=C9)=C1,-5.28,-2.69,20.84,1.1,0.67,15.28,21.61,1.07,0.7,17.04,10.1039/C7TC03931J
CC1=C(/C=C/C2=CC=C(N(CC)C3=C4C=CC=C3)C4=C2)C=CC(N(C5=CC=C(/C=C/C6=CC(C7=CC=CC=C7N8CC)=C8C=C6)C=C5)C9=CC=C(C%10=CC=C(N(C%11=CC(C)=C(C=CC%12=CC(C%13=CC=CC=C%13N%14CC)=C%14C=C%12)C=C%11)C%15=CC=C(/C=C/C%16=CC=C(N(CC)C%17=C%18C=CC=C%17)C%18=C%16)C=C%15)C=C%10)C=C9)=C1,-5.34,-2.58,20.31,1.1,0.52,11.73,21.61,1.07,0.7,17.04,10.1039/C7TC03931J
CCCCN(CCCC)C1=CC=C(/C=C/C2=CC=C(N(C3=CC=C(N(C4=CC=C(N(C5=CC=C(/C=C/C6=CC=C(N(CCCC)CCCC)C=C6)C=C5)C7=CC=C(/C=C/C8=CC=C(N(CCCC)CCCC)C=C8)C=C7)C=C4)C9=CC=C(N(C%10=CC=C(/C=C/C%11=CC=C(N(CCCC)CCCC)C=C%11)C=C%10)C%12=CC=C(/C=C/C%13=CC=C(N(CCCC)CCCC)C=C%13)C=C%12)C=C9)C=C3)C%14=CC(C=CC%15=CC=C(N(CCCC)CCCC)C=C%15)=CC=C%14)C=C2)C=C1,-5.34,-2.64,19.14,1.05,0.6,12.4,22.05,1.04,0.73,16.7,10.1016/j.dyepig.2016.08.002
CCCCN(CCCC)C1=CC=C(/C=C/C2=CC=C(N(/C=C/C3=CC=C(N(C4=CC=C(C=CN(C5=CC=C(/C=C/C6=CC=C(N(CCCC)CCCC)C=C6)C=C5)C7=CC=C(/C=C/C8=CC=C(N(CCCC)CCCC)C=C8)C=C7)C=C4)C9=CC=C(C=CN(C%10=CC=C(/C=C/C%11=CC=C(N(CCCC)CCCC)C=C%11)C=C%10)C%12=CC=C(/C=C/C%13=CC=C(N(CCCC)CCCC)C=C%13)C=C%12)C=C9)C=C3)C%14=CC(C=CC%15=CC=C(N(CCCC)CCCC)C=C%15)=CC=C%14)C=C2)C=C1,-5.14,-2.54,21.33,1.03,0.7,15.4,22.05,1.04,0.73,16.7,10.1016/j.dyepig.2016.08.002
COC1=CC=C(N(C2=CC=C(C3=CC(C(C4=CC=C(CCCCCC)C=C4)(C5=CC=C(CCCCCC)C=C5)C6=C7C=C8C(C([S]=C(C9=CC=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C([o]C)C=C%11)C=C9)C%12)=C%12C8(C%13=CC=C(CCCCCC)C=C%13)C%14=CC=C(CCCCCC)C=C%14)=C6)=C7S3)C=C2)C%15=CC=C([o]C)C=C%15)C=C1,-4.9,-2.4,21.99,1.05,0.61,13.6,22.18,1.07,0.72,17,10.1002/cssc.201700197
